Nombre,Tipo,Precio,Temática,Autores,Tiempo de juego,Dificultad,Num. Jugadores,Idioma,Edad,URL,Descripción
El Señor de los Anillos: Viajes por la Tierra Media,Juegos de Miniaturas,"99,95 €","Espada y Brujería, Medieval, TV/Series/Cine","Grace Holdinghaus, Nathan I. Hajek",Temps de joc NO identificat,Medio,"1, 2, 3, 4, 5",Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/el-se-or-de-los-anillos-viajes-por-la-tierra-media.html,"Cada partida de El Señor de los Anillos: Viajes por la Tierra media es una aventura que forma parte de una campaña. Tendrás que explorar los enormes paisajes de la Tierra Media y usar tus habilidades para sobrevivir a los retos que encontrarás en estas peligrosas misiones. Los héroes tendrán que explorar las tierras salvajes y combatir contra las fuerzas oscuras que encuentren, mientras la aplicación digital gratuita les irá mostrando los amenazadores bosques, los claros silenciosos y los antiguos salones de la Tierra Media, al tiempo que controla a los enemigos con los que se encontrarán. Este juego necesita una App gratuita disponible para Steam, iOS y Android."
Aristeia!,Juegos de Miniaturas,"53,99 €","Ciencia Ficción, Deportes","Alberto Abal, David Rosillo, Jesús Fuster",60 - 90 min,Medio,2,Español,de 14 a 18 años,https://zacatrus.es/aristeia.html,"En Aristeia!, dos jugadores se pondrán en la piel de un mánager de un equipo de competición en el mayor espectáculo visual de la Esfera Humana. Sobre la arena del HexaDome, se celebrarán los más majestuosos e increíbles deportes de contacto definitivo en la Esfera Humana. Sumérgete en la estrategia y en la dinámica de este excepcional juego."
BattleLore 2º Edición,Juegos de Miniaturas,"79,95 €",Espada y Brujería,"Richard Borg, Robert A. Kouba",45 - 90 min,Difícil,2,Español,de 14 a 18 años,https://zacatrus.es/battlelore-2-edicion.html,"Un enemigo largo tiempo olvidado ha vuelto a aparecer, ¡y Terrinoth se ve sumido en la guerra! Los Uthuk Y’llan, corrompidos por fuerzas demoníacas, han regresado, y sus ejércitos atacan sin previo aviso desde el corazón de las Tierras Oscuras de Ru. Las fuerzas de los Señores Daqan, acomodadas tras un largo periodo de paz, no están listas para el combate. ¿Podrán los heroicos soldados de la Ciudadela resistir el tiempo suficiente para poder levantar una defensa? ¿O volverá Terrinoth a ser devastada por su mayor enemigo?

BattleLore es un épico juego de combate táctico para dos jugadores, que estarán al mando de una gran variedad de unidades en los campos de batalla de Terrinoth, ya sea como los nobles Señores Daqan o como los sanguinarios Uthuk Y’llan. Con reglas accesibles para reclutar ejércitos, desplegar unidades en el campo de batalla y comandar ejércitos sobre una gran variedad de terrenos, BattleLore proporciona multitud de opciones tácticas a los jugadores.

Además, un nuevo sistema dinámico de creación de escenarios garantiza una experiencia distinta cada vez que juegues. Los jugadores tendrán que usar hasta el último ápice de sus fuerzas, astucia y saber para obtener la ventaja en el campo de batalla y no ser aplastados bajo el peso del ejército rival. Con 92 miniaturas, más de 160 cartas, 60 fichas y piezas de terreno y mucho más, ¡BattleLore es el juego de combate táctico en hexágonos definitivo!"
Canción de hielo y fuego el juego de miniaturas: Pueblo Libre,Juegos de Miniaturas,"67,99 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/cancion-de-hielo-y-fuego-el-juego-de-miniaturas-pueblo-libre.html,"Aunque la mayoría de los habitantes de Poniente los llama salvajes, la gente que habita los bosques boreales y la tundra ártica que están al norte del Muro se llama a sí misma el Pueblo Libre. Puede que parezca más una chusma indisciplinada que un ejército, pero las tácticas de sorpresa de que se vale el Pueblo Libre le conceden sorprendentes victorias contra otras fuerzas con un armamento mucho más avanzado. Además, el Pueblo Libre se ha aliado con los titánicos gigantes norteños, cada uno de los cuales es un ejército en sí mismo. Subestimar al Pueblo Libre en combate es, con toda seguridad, el camino más corto hacia la tumba."
Star Wars Armada: Rebelión en el borde exterior,Juegos de Miniaturas,"29,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/star-wars-armada-rebelion-en-el-borde-exterior.html,"¡Únete a tus amigos en una contienda crucial por el destino del Borde! Rebelión en el Borde Exterior permite que hasta 6 jugadores participen en una campaña compuesta por múltiples batallas entre flotas de Star Wars: Armada en las que crearás tu propio comandante personalizado para que lidere  tus fuerzas. La victoria dependerá del desarrollo de las capacidades de  tu comandante y de la compenetración con tus compañeros de equipo.  ¡Desde escaramuzas menores a batallas decisivas, el destino del Borde  está en tus manos!"
Canción de hielo y fuego: Héroes Stark I,Juegos de Miniaturas,"26,39 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-stark-i.html,"Los líderes de la Casa Stark en la Guerra de los Cinco Reyes representan lo mejor que tiene a su disposición el Norte. Son valientes, hábiles comandantes sin excepción, cada uno de los héroes que sirven bajo el estandarte del lobo huargo se ha entrenado para ocupar un lugar específico en el frente de batalla: a Howland Reed y Rodrik Cassel se les puede confiar el mando de unidades concretas con funciones especializadas; mientras que Brynden Tully y Eddard Stark pueden conducir a todo el ejército con sus inteligentes tácticas y estrategias. Por último, la mera presencia de Bran Stark y sus compañeros Hodor y el lobo huargo Verano infunde valor a los hombres para resistir hasta el último de ellos."
Canción de hielo y fuego: Espadas juramentadas Stark,Juegos de Miniaturas,"15,86 €","Medieval, TV/Series/Cine","Eric M. Lang, Michael Shinall",60,Medio,2,Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/cancion-de-hielo-y-fuego-espadas-juramentadas-stark.html,"Los Espadas Juramentadas son valientes, duros y, sobre todo, leales. Seguirán al estandarte del lobo huargo dondequiera que sus señores lo conduzcan, aunque todas las probabilidades de victoria estén en su contra. Casi ningún plan de batalla está completo sin un destacamento de estos curtidos y decididos guerreros. Allí donde otras tropas flaquearían y huirían frente a un enemigo arrollador, los espadas juramentadas se mantienen firmes sin vacilar una y otra vez."
Castigadora - Star Wars: X-Wing,Juegos de Miniaturas,"29,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/castigadora-star-wars-x-wing.html,"Diseñado para el reconocimiento autónomo de largo alcance y el trazado de nuevas rutas hiperespaciales, el escasamente armado Saltador Maestro 5000 solía ser ampliamente reacondicionado con mejoras personalizadas. El despiadado cazarrecompensas Dengar equipó la Castigadora, su astronave personal, con un cañón láser cuádruple, torpedos de protones y una sección de propulsión mejorada.

Este pack incluye todo lo necesario para añadir 1 Castigadora (Saltador Maestro 5000) a tus partidas."
Espíritu - Star Wars: X-Wing,Juegos de Miniaturas,"49,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/espiritu-star-wars-x-wing.html,"Otro exitoso diseño de carguero de la Corporación de Ingeniería Corelliana, el VCX-100 era de mayor tamaño que la ubicua serie YT, teniendo así más espacio para la tripulación y para la instalación de mejoras personalizadas. Los famosos Rebeldes de Lothal liderados por Hera Syndulla utilizaron un VCX-100 sumamente modificado al que llamaron el Espíritu, empleando su bloqueador de sensores, puestos artillados y lanzadera de ataque acoplada con efectos devastadores.

Este pack incluye todo lo necesario para añadir 1 VX-100 y 1 Lanzadera de ataque a tus partidas.

¡Incluye la lanzadera de ataque Fantasma!

El Espiritu puede transportar hasta la batalla su propia lanzadera de ataque, desplegándola en medio del combate para efectuar un mortífero ataque sorpresa. ¡Añade a tu arsenal pilotos únicos como Sabine Wren y Ezra Bridger!"
X-Wing Caja básica: El despertar de la fuerza,Juegos de Miniaturas,"39,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,"2, 3, 4",Español,de 14 a 18 años,https://zacatrus.es/x-wing-caja-basica-el-despertar-de-la-fuerza.html,"X-Wing es un vertiginoso juego de combate espacial táctico ambientado en el universo de Star Wars. Los jugadores controlan cazas estelares de la Resistencia o del Primer Orden, asignándoles pilotos y equipándolos con armamento especial y mejoras, para vencer a sus rivales con hábiles maniobras. Esta caja básica contiene todo lo necesario para que dos jugadores puedan empezar a jugar a X-Wing: miniaturas de naves pintadas a mano, dados especiales, cartas, fichas y un reglamento introductorio. También se incluyen reglas avanzadas y misiones especiales que llevan la experiencia de juego a un nuevo nivel. ¡Pilotos, a vuestras naves! ¡Y que la Fuerza os acompañe!"
Aristeia! Core Collector's Limited Edition,Juegos de Miniaturas,"112,50 €","Ciencia Ficción, Deportes","Alberto Abal, David Rosillo, Jesús Fuster",60 - 90 min,Medio,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/aristeia-core-collector-s-limited-edition.html,"Edición limitada de Aristeia! que incluye, entre otras cosas, miniaturas en metal de los personajes. Tirada limitada y exclusiva"
Runewars: El juego de miniaturas,Juegos de Miniaturas,"99,95 €",Espada y Brujería,Andrew Fischer,90 min.,Difícil,2,Español,de 14 a 18 años,https://zacatrus.es/runewars-el-juego-de-miniaturas.html,"""Runewars: El juego de miniaturas"" es un juego de batallas épicas ambientado en el universo de Runebound. Con este juego, podrás planificar tu estrategia, manejando a la caballería, a las criaturas de asedio o a los impresionantes héroes. Tendrás que analizar bien tu estrategia, porque tus rivales también estarán preparados para frustrar tu gran batalla."
Canción de hielo y fuego: Héroes del Pueblo Libre I,Juegos de Miniaturas,"29,99 €",Arte y Literatura,"Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-del-pueblo-libre-i.html,"En el ejército del Pueblo Libre muchas tribus e individuos se han unido formando una gran alianza, y esta alianza ha dado lugar a algunas treguas incómodas, especialmente entre Harma Cabeza de Perro y el Señor de los Huesos (también conocido como «Casaca de Matraca»). En cualquier caso, han surgido héroes de todos los estamentos, desde la mujer del acero Ygritte, pasando por los líderes exploradores Jarl y el Llorón, hasta el Magnar de Thenn, rey de su tribu. Las tierras del norte no son lugar para débiles, y el Pueblo Libre está dispuesto a destruir a cualquiera que pretenda encadenarlo."
Canción de hielo y fuego: Héroes de la Guardia de la Noche I,Juegos de Miniaturas,"29,99 €",Arte y Literatura,"Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-de-la-guardia-de-la-noche-i.html,"Entre los Héroes de la Guardia de la Noche se encuentran hombres veteranos como Donal Noye y Othell Yarwyck, y luchadores expertos que dirigen grandes contingentes, como Qhorin Mediamano y Alliser Thorne. Estos hombres han superado la prueba del combate y han salido de ella más firmes e impetuosos si cabe. Incluso los reclutas relativamente nuevos como Grenn y Pypar se adaptan rápidamente a los rigores de la lucha sin fin. En el Muro, la vida es dura y muchos son los desafíos, de manera que uno se adapta o muere."
Canción de Hielo y Fuego: Veteranos de la Guardia,Juegos de Miniaturas,"29,99 €","Arte y Literatura, Espada y Brujería","Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-veteranos-de-la-guardia.html,"Los Veteranos de la Guardia han participado en innumerables batallas y han sobrevivido. Con ellos en escena, puedes confiar en que la línea de batalla avance; en que se mantendrán firmes ante asaltos feroces, y en que formarán el núcleo disciplinado y competente de cualquier ejército de la Guardia de la Noche. Dado que son infantería pesada, pueden verse sobrepasados por una tromba de enemigos; sin embargo, una planificación cuidadosa y una disposición de sus tropas adecuada permiten a un buen comandante hacer de los Veteranos la afilada punta de una lanza o un frente tan formidable como el mismísimo Muro."
Canción de hielo y fuego: Héroes Lannister II,Juegos de Miniaturas,"29,99 €","Arte y Literatura, Espada y Brujería","Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-lannister-ii.html,"La Guardia Real, aunque sólo cuenta con siete miembros, es una de las unidades más diestras en el combate. Cuenta con las mejores armas, la mejor armadura y el mejor adiestramiento que el dinero puede comprar y está completamente dedicada a la protección de su rey, por lo que pueden atacar o defender frente a una cantidad de enemigos tres veces superior a su número sin pensar en la derrota. Sin embargo, hay que ser cauto al emplearlos en la batalla, no solo para evitar que los rodeen y destruyan, sino para contener y protegerse de la mayor debilidad de la Casa Lannister: el propio rey Joffrey Baratheon."
Canción de hielo y fuego: Héroes Stark II,Juegos de Miniaturas,"29,99 €",Arte y Literatura,"Eric M. Lang, Michael Shinall",60,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/cancion-de-hielo-y-fuego-heroes-stark-ii.html,"Las fuerzas de la Casa Stark están repletas de líderes, guardianes, fugitivos e incluso un animal. Ahora, Meera y Jojen Reed prestan sus letales habilidades a los comandantes que sirven bajo el estandarte del lobo huargo, mientras que Osha la Mujer del acero, Rickon Stark y su terrible lobo huargo Peludo inspiran a las tropas a reunirse en torno al joven heredero Stark. El propio Peludo defenderá a su joven amo con garras y colmillos, listo para combatir hasta la muerte. Aunque Arya Stark sea joven, su “trabajo de aguja” es casi tan letal como el de su maestro, Syrio Forel, Primera Espada de Braavos. Es un grupo ecléctico, pero perfecto para añadir sorpresas inesperadas a cualquier fuerza Stark."
Star Wars Legión: Droidekas,Juegos de Miniaturas,"29,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/star-wars-legion-droidekas.html,"Este pack de expansión para STAR WARS: LEGIÓN contiene 4 miniaturas de Droidekas esculpidas con todo lujo de detalle, suficiente para desplegar una unidad de Apoyo, además de nuevas cartas de Unidad y Mejora que podrás utilizar en tus batallas."
Star Wars Legión: Deslizadora BARC,Juegos de Miniaturas,"24,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Español,Edat NO identificada,https://zacatrus.es/star-wars-legion-deslizadora-barc.html,"Este pack de expansión para STAR WARS: LEGIÓN contiene 1 miniatura de Deslizadora BARC esculpida con todo lujo de detalle, suficiente para desplegar una unidad de Apoyo, además de nuevas cartas de Unidad y Mejora que podrás utilizar en tus batallas."
Star Wars Armada: Rebelión en el borde exterior Kilómetro 0,Juegos de Miniaturas,"26,95 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/catalog/product/view/id/16865/s/star-wars-armada-rebelion-en-el-borde-exterior-kilometro-0/category/30/,"¡Únete a tus amigos en una contienda crucial por el destino del Borde! Rebelión en el Borde Exterior permite que hasta 6 jugadores participen en una campaña compuesta por múltiples batallas entre flotas de Star Wars: Armada en las que crearás tu propio comandante personalizado para que lidere  tus fuerzas. La victoria dependerá del desarrollo de las capacidades de  tu comandante y de la compenetración con tus compañeros de equipo.  ¡Desde escaramuzas menores a batallas decisivas, el destino del Borde  está en tus manos!
Juego Kilómetro 0: Está abierto y destroquelado, pero en perfectas condiciones. Es el que hemos usado para el vídeo."
"Star Wars, X-Wing: Castigadora",Juegos de Miniaturas,"29,95 €",Ciencia Ficción,Autors NO identificat/s,45,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-castigadora.html,"La Castigadora de Dengar, o el Saltador Maestro 5000, es un espléndido cazarrecompensas temido en toda la galaxia. Dispone de una veloz torreta y de potentes motores que le otorgan un patrón de vuelo impredecible."
"Star Wars, X-Wing: TIE de los Inquisidores",Juegos de Miniaturas,"19,95 €",Temàtica NO identificada,Autors NO identificat/s,45,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-tie-de-los-inquisidores.html,"El TIE avanzado v1 es una nave experimental propia de los agentes de élite del Imperio. Sus propulsores de alta precisión y flexibles controles de esta nave permiten a sus pilotos  perseguir incansablemente a sus presas por toda la galaxia.
Este pack incluye todo lo necesario para añadir 1 TIE avanzado v1 a tus partidas."
"Star Wars, X-Wing: Espíritu",Juegos de Miniaturas,"49,95 €",Temàtica NO identificada,Autors NO identificat/s,45,Dificultat NO identificada,2,Idioma NO identificat,de 14 a 18 años,https://zacatrus.es/star-wars-x-wing-espiritu.html,"El Star Wars, X-Wing - Espíritu incluye un carguero ligero VCX-100 y la ágil lanzadera clase Sheathipede. Estos dos elementos pueden luchar como una sola nave o separarse para atacar desde distintos ángulos. Ambas naves, sin duda, pueden considerarse uno de los activos más valiosos de la Rebelión.
Este pack incluye todo lo necesario para añadir 1 Carguero ligero VCX-100 y 1 Lanzadera clase Sheathipede a tus partidas."
Roll Player - Monstruos y Esbirros,Juegos de Dados,"44,95 €",Espada y Brujería,Keith Matejka,60 - 90 min,Medio,"1, 2, 3, 4, 5",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/roll-player-monstruos-y-esbirros.html,"Roll Player: Monstruos y Esbirros es una expansión para Roll Player,el juego competitivo de construcción de personajes de hasta 5 jugadores. En cada partida los jugadores crearán su personaje de fantasía mediante la gestión de dados, comprando cartas de Mercado y cazando Esbirros durante la parte de creación de su Personaje. Después, los jugadores se enfrentarán al Monstruo en una ronda de combate usando la información que hayan recopilado durante la partida. ¡Consigue ganar más Estrellas de Reputación creando el mejor héroe e infligiendo más daño al Monstruo para ser declarado ganador!"
Sagrada,Juegos de Dados,"36,00 €",Abstracto,"Adrian Adamescu, Daryl Andrews",30 - 45 min,Medio,"1, 2, 3, 4",Español,de 14 a 18 años,https://zacatrus.es/sagrada.html,"Con ""Sagrada"" da rienda suelta a tu imaginación y rinde pleitesía a la magia de la luz de Gaudí. Combina los diferentes colores y construye tu propio vitral de dados."
El Rey de los Dados,Juegos de Dados,"13,45 €",Medieval,Nils Nilsson,30 min,Medio,"2, 3, 4, 5","Español, Alemán","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/el-rey-de-los-dados.html,"Atrae a nuevos habitantes a tu reino cumpliendo, con tres tiradas de dados, las diferentes condiciones que se indican en as cartas. Las cartas especiales te darán ventajas, pero protégete del loco del pueblo y el dragón. Aquel que consiga los mejores habitantes al final, será el ganador."
Kingdomino Duel,Juegos de Dados,"11,65 €",Medieval,"Bruno Cathala, Ludovic Maublanc",20 min,Medio,2,Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/kingdimino-duel.html,"El primer jugador tira todos los dados con símbolos y elige uno, el segundo jugador dos y el dado restante va al primero. A partir de entonces, los reyes en disputa tendrán que dibujar en sus respectivos reinos los símbolos que se les han presentado. La conjugación de símbolos será responsable de la puntuación final. Elegir los dados sabiamente es la base del desafío y se basa en la difícil decisión de evitar que el oponente gane demasiados puntos mientras intenta maximizar su propio puntaje. En el transcurso del partido, es posible acumular habilidades especiales que empoderarán a los soberanos y harán que el partido sea aún más emocionante."
Rolling Bandits,Juegos de Dados,"12,51 €",Oeste,"Brett J. Gilbert, Trevor Benjamin",20 - 30 min,Medio,"2, 3, 4",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/rolling-bandits.html,Asalta los vagones del tren con tu banda de vaqueros renegados. Tendrás que subir distintos grupos de tus secuaces para poder desvalijar los vagones antes de que lo hagan las otras bandas!
Impact,Juegos de Dados,"18,00 €",Abstracto,Dieter NüBle,15 min,Fácil,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/impact.html,"En Impact: La Batalla de los Elementos, los jugadores tratarán de conseguir símbolos iguales para así ser los últimos en pie en el caldero de batalla, lanzando sus dados con precisión y usando los poderes especiales de los elementos.

Lanza tus dados para transformar los elementos del caldero y crear grupos del mismo tipo. Los dados cuyos símbolos coincidan se añadirán a tu reserva. El resto de dados permanecerán en el caldero para el siguiente jugador. El último jugador con dados en su reserva al final de la partida será el ganador.

Si quieres desatar “El Poder de los Elementos”, podrás activar además algunos de los símbolos durante las partidas, lanzando columnas de fuego, huracanes o tormentas eléctricas, entre otros. Incluso puedes jugar a la variante “Avatar”, ¡en la que todos los elementos están activados!"
Dice Forge,Juegos de Dados,"39,99 €",Espada y Brujería,Régis Bonnessée,45 min,Medio,"2, 3, 4",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/dice-forge.html,"Dice Forge es un juego basado en dados, con diferentes caras intercambiables, con el que podrás construir tus propios dados. Trata de vencer a tus rivales usando tu valentía y tu astucia, controlando tu suerte."
Dice Forge Exp. Rebellion,Juegos de Dados,"26,99 €",Espada y Brujería,Régis Bonnessée,60 min,Medio,"2, 3, 4","Español, Portugués, Catalán","de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/dice-forge-exp-rebellion.html,"En Dice Forge Rebelión, tienes más interacción y combinaciones. Los héroes enfrentan nuevas pruebas con la asistencia inesperada de la diosa y de los titanes. Cada uno de los dos eventos opcionales de esta expansion proporciona un módulo (tablero, cartas, caras de dados y peones) con 15 cartas nuevas, para mezclarlas con el juego base. Héroes, preparaos para controlar (mucho más que) la suerte de los dados."
Dice Hospital,Juegos de Dados,"36,00 €",Medicina,"Mike Nudd, Stanislav Kordonskiy",45 - 90 min,Medio,"1, 2, 3, 4",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/dice-hospital.html,"Juego de colocación de trabajadores en el que los jugadores deberán tratar todos los pacientes que puedan para apaciguar a las autoridades locales. Distribuye al personal del hospital de la forma más conveniente para tratar adecuadamente a tus pacientes. El jugador que consiga mayor reputación, ¡vencerá en la partida!"
Dice Academy,Juegos de Dados,"6,31 €",Abstracto,Yannick Gobert,15 min,Fácil,"2, 3, 4, 5, 6","Español, Inglés, Francés, Alemán, Italiano, Portugués, Holandés","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/dice-academy-2019.html,"En Dice Academy, lanza los dados de letras y prepárate para buscar palabras de esos temas y que empiecen por esas letras. Además, tendrás que tener en cuenta los colores de los dados..."
Sonic The Hedgehog Dice Rush,Juegos de Dados,"17,95 €",Videojuegos,Jonathan Ying,20 min,Medio,"2, 3, 4",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/sonic-the-hedgehog-dice-rush.html,"Todos lanzáis los dados simultáneamente para conseguir los resultados de las cartas con las que creáis secciones de un nivel determinado en una carrera clásica 2D de Sonic. ¡Actúa rápido, ya que ciertas secciones te darán puntos extra, mientras que otras te costarán un esfuerzo extra!

El juego incluye: 64 Cartas de zona, 4 Cartas de personaje, 16 Fichas de tortazo, 21 Dados de cuatro colores, 1 Reglamento."
Rising for the Throne,Juegos de Dados,"18,00 €",Espada y Brujería,Autors NO identificat/s,30 - 45 min,Medio,"1, 2, 3, 4, 5, 6","Español, Inglés, Francés, Alemán","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/rising-for-the-throne.html,Rising for the Throne Juego de mesa de Txarli Factory.
Babydino,Juegos de Dados,"15,92 €",Animales,Raul López,20 min,Medio,"2, 3, 4","Español, Inglés","de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/babydino.html,"Adéntrate en las prehistoria más tierna, y disfruta de los simpáticos bebés dinosaurio."
Hexroller,Juegos de Dados,"10,75 €",Abstracto,Rustan Håkansson,15 - 20 min,Medio,"1, 2, 3, 4, 5, 6, 7, 8",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/hexroller.html,"En el transcurso de solo siete rondas, los jugadores escogen los números obtenidos en una tirada de ocho dados y los escriben en su cuadrícula hexagonal. Los números deben escribirse en espacios adyacentes al mismo número. De esta manera, los jugadores crean enlaces entre los números impresos en su cuadrícula y también completan áreas de colores para ganar puntos. En cada ronda, los jugadores también tienen que registrar los dos números que han elegido al lado de la cuadrícula, tratando de usar cada número entre 3 y 8 al menos dos veces a lo largo de la partida. El que logre acumular más puntos al final de las siete rondas será el ganador."
Cartógrafos: Un Relato de Roll Player​,Juegos de Dados,"17,95 €",Espada y Brujería,Autors NO identificat/s,30 - 45 min,Dificultat NO identificada,"1, 2, 3, 4, 5, 6, 7, 8, +8",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/cartografos-un-relato-de-roll-player.html,"La reina Gimnax ha ordenado la recuperación de los tierras del norte: Como cartógrafo a su servicio eres enviado a mapear este territorio y reclamarlo para el Reino de Nalos. Pero estas áreas no están deshabitadas. Los Drogul impugnan tus reivindicaciones con sus puestos de avanzada, así que debes dibujar tus líneas cuidadosamente para reducir su influencia. Recupera la mayor parte de las tierras deseadas por la reina y serás declarado el mejor cartógrafo de Nalos."
POW!,Juegos de Dados,"11,25 €",Superhéroes,Reiner Knizia,20 min,Medio,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/pow.html,"POW! es un juego de dados donde participan los más grandes superhéroes de la historia. Trata de conseguir a los superhéroes más poderosos del mundo, pero también incluye algún supervillano para que tus héroes puedan puntuar al final de la partida. Mientras tanto, tus rivales tratarán de robarte a los mejores personajes. ¡Sólo ganará el héroe!"
Dados Ninja,Juegos de Dados,"19,95 €",Oriental,Rocco Privetera,15 - 30 min,Medio,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/dados-ninja.html,"Divertidísimo juego de dados en el que deberás demostrar quién es el ninja más rápido y poderoso de todos. Lanza tus dados y trata de superar diferentes desafíos, pero cuidado con el resto de ninjas, que tratarán de robarte y, de paso, robarse entre sí. El ninja más rico vencerá la partida."
Story Cubes: Emergency,Juegos de Dados,"9,99 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/story-cubes-emergency.html,"Story Cubes es un juego enormemente divertido, que agudiza tu ingenio y  afina tu imaginación. Las imágenes fueron diseñadas por Rory O'Connor,  un irlandés especializado en entrenar la creatividad y solucionar  problemas creativos. Se pueden utilizar para llegar a respuestas o  decisiones de una manera indirecta e ingeniosa. Cada dado tiene 6  imágenes o iconos, un total de 54 ideas que mezcladas pueden generar más  de 10 millones de combinaciones."
Corinth,Juegos de Dados,"19,99 €",Comercio,Sebastien Pauchon,20 - 30 min,Medio,"2, 3, 4",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/corinth.html,"Nos encontramos en Corinto, en el siglo IV a.C., y los comerciantes vienen de todos los rincones del Mediterráneo para vender sus productos. Tú eres uno de ellos y debes enviar a tu representante al mercado, entregar los productos a las mejores tiendas del puerto, construir edificios para ayudar a que tu negocio crezca y se convierta en el más prestigioso entre tus pares...."
Los Aprendices,Juegos de Dados,"25,95 €",Medieval,Alberto Corazón,45 min,Medio,"2, 3, 4","Español, Inglés","de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/los-aprendices.html,"Ahora sois aprendices y os queda un largo camino por delante. Un camino de conocimiento que estará lleno de trampas, de amenazas que no imagináis todavía y que os pondrá a prueba. Esforzaos. Aprended a dominar los elementos. Memorizad cada fórmula, cada combinación posible o imposible. Plantad cara a vuestros miedos. Confiad, también, en la suerte porque es prudente reconocer que no todo está en nuestras manos. Sólo así os convertiréis en alquimistas."
