Nombre,Tipo,Precio,Temática,Autores,Tiempo de juego,Dificultad,Num. Jugadores,Idioma,Edad,URL,Descripción
Patchwork,Juegos de Tablero,"16,20 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,2,Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/patchwork.html,"Hoy en día, el Patchwork se considera un arte, en el cual se usan telas de calidad para crear un bello diseño. Piezas de diferentes telas producen unos resultados que pueden llegar a considerarse verdaderas obras de arte.

Elaborar una preciosa colcha requiere mucho tiempo y esfuerzo, puesto que los retales disponibles no encajan fácilmente. Escoge tus parches sabiamente, colócalos en tu colcha, acumula una gran reserva de botones y no dejes demasiados huecos… o te costarán la partida."
Clank!,Juegos de Tablero,"45,00 €",Espada y Brujería,Paul Dennen,30 - 60 min,Medio,"2, 3, 4",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/clank.html,¡Disfruta de Clank! el trepidante constructor de mazo de tablero en el que los jugadores tendrán que robar tesoros y llevarlos a la superficie antes de que el dragón despierte por culpa del ruido y los devore!
Bandido,Juegos de Tablero,"12,95 €",Temàtica NO identificada,Autors NO identificat/s,10 - 15,Dificultat NO identificada,"1, 2, 3, 4",Idioma NO identificat,"de 3 a 6 años, de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/bandido.html,"Juego de cartas cooperativo de estrategia, intuición y observación, en el que participará y se entretendrá toda la familia. 

Un prisionero está tratando de escapar a través de los túneles que empiezan por debajo de su celda. ¿Serás capaz de unir fuerzas y cartas para detenerlo?"
Monza,Juegos de Tablero,"16,20 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,"2, 3, 4, 5, 6",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/monza.html,"Los jugadores lanzan seis dados en su turno, y mueven su coche de acuerdo con los colores que aparecen en los dados. Monza fomenta el pensamiento táctico, así como el reconocimiento de los colores. ¿Quién lleva a su primer coche de carreras hasta el final?"
¡Arre unicornio!,Juegos de Cartas,"14,95 €",Medicina,"Brer Ballesteros, Cere Venteo",20 - 40 min,Medio,"2, 3, 4, 5, 6, 7, 8",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/arre-unicornio.html,"Por ello, la única solución viable que les queda es intentar escapar del manicomio que los retiene. ¿Qué medios utilizarán para salir? Sólo depende de ti. Los doctores tendrán que ser avispados para que no se escape ningún enfermo. Pero cuidado, no te puedes fiar de nadie. En este manicomio están todos locos menos yo. ¡Arre unicornio!"
Virus,Juegos de Cartas,"13,46 €",Medicina,"Carlos López, Domingo Cabrero, Santi Santisteban",20 min,Fácil,"2, 3, 4, 5, 6","Español, Inglés, Francés","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/virus.html,"Tu misión consiste en enfrentarte con arrojo a la pandemia y competir por ser el primero en erradicar los virus logrando aislar un cuerpo sano para evitar la propagación de las terribles enfermedades. Éticos o no, todos los medios a tu alcance valen para ganar. El vencedor será colmado de reconocimientos y los perdedores arrojados a las enfurecidas autoridades sanitarias."
Mascotas,Juegos de Cartas,"14,00 €",Animales,Raul López,20 min,Medio,"2, 3, 4, 5, 6, 7, 8","Español, Inglés","de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/mascotas.html,"En este divertido juego de cartas para toda la familia, tendrás que cuidar de tu mascota, pero compartes habitación o casa con otros cuidadores, y éstos también tienen sus propias mascotas. Y no hay sitio ni comida para todos. Y todos quieren ser el mejor cuidador."
Pajarracos,Juegos de Cartas,"8,00 €",Agricultura,Paco Yánez,5 - 10 min,Fácil,"3, 4, 5, 6","Español, Inglés","de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/pajarracos.html,Pajarracos es un juego de estrategia y rivalidad. ¡Consigue más frutas que tus rivales! ¡Protege tus frutales con tus Espantapájaros! Y sobretodo ¡envía a tus Pajarracos a comerse las frutas del resto de los jugadores! ¡Sé el granjero más astuto y conseguirás ser el ganador!
CuBirds,Juegos de Cartas,"13,50 €",Animales,Stefan Alexander,20 min,Fácil,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/cubirds.html,"Cubirds es un juego de cartas muy divertido en el que tendrás que ayudar a las bandadas de pájaros a encontrar el camino de sus nidos. ¡No va a ser fácil, te lo aseguro!"
Virus 2 Evolution,Juegos de Cartas,"11,95 €",Medicina,"Carlos López, Domingo Cabrero, Santi Santisteban",20 min,Fácil,"2, 3, 4, 5, 6",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/virus-2-evolution.html,"Las medicinas convencionales ya no son efectivas contra los nuevos virus. Trata de mantener a raya los virus poniéndolos en cuarentena para evitar su propagación. Pero ándate con ojo, porque tus rivales no te pondrán las cosas fáciles y harán todo lo posible por boicotear tu trabajo y quedarse toda la gloria."
¡Toma 6! Edición 25 aniversario,Juegos de Cartas,"11,65 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/toma-6-edicion-25-aniversario.html,"El juego sigue teniendo la misma mecánica, el objetivo es intentar llevarse el menor número de cartas, pero en esta ocasión se incluyen 7 tipos distintos de cartas especiales que se podrán jugar en el turno para, por ejemplo, formar una quinta fila, llegar hasta 6 cartas en una de ellas, intercambiar cartas de posición o convertir los puntos negativos de una fila en puntos positivos. ¿Estáis listos para probarlo?"
El Portero Baldomero,Juegos de Cartas,"12,50 €",Abstracto,Rikki Tahta,15,Fácil,"3, 4, 5, 6, 7, 8",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/el-portero-baldomero.html,"En El Portero Baldomero, un jugador tomará el papel del portero de una comunidad, el afable Baldomero, mientras que el resto de jugadores seremos una banda de vecinos muy cotillas. Baldomero es un gran portero, pero tiene un pequeño defecto: Quiere conocer todos los chismes de los que se habla en el descansillo del portal. El resto de vecinos tendréis que intentar evitar que Baldomero se entere de todo. Cuidado, si los vecinos le pillan fisgando, ¡es muy probable que Baldomero pierda el trabajo!"
Polilla Tramposa,Juegos de Cartas,"11,00 €",Temàtica NO identificada,Autors NO identificat/s,20,Dificultat NO identificada,Num. Jugadors NO identificat,Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/polilla-tramposa.html,"Cada jugador recibe una mano de ocho cartas y gana el primero que consigue deshacerse de ellas. Por desgracia, algunas de ellas no pueden descartarse de forma normal y los jugadores deben buscar sistemas “alternativos” para librarse de ellas.

Componentes: 20 cartas de acción, 43 de números, 8 de polillas tramposa, 1 chinche guardián,"
Claim,Juegos de Cartas,"10,75 €",Temàtica NO identificada,Scott Almes,20 min,Medio,2,Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/claim.html,"¡El Rey ha muerto! ¿Qué ha sucedido? Nadie lo sabe realmente. Esta mañana fue encontrado bocabajo dentro de un barril de vino. Han podido ser sus enemigos o su «sed» lo que lo ha llevado a este final. Sea como fuere, el Rey está muerto y no ha dejado herederos conocidos, por lo que deberán ser las cinco facciones del reino, las que elijan al nuevo Rey: ¿Serás el elegido?"
Monster Match,Juegos de Cartas,"11,65 €",Cuentos,"Ken Gruhl, Quentin Weir",10 min,Medio,"2, 3, 4, 5, 6",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/monster-match.html,"En Sprinkleton, ¡la capital mundial del donut!, ha surgido un problemilla: la ciudad ha sido invadida por hambrientos monstruos que están arrasando con todos los donuts. Ayúdanos a atrapar a estas torpes bestias para poder echarlas de la ciudad."
The Mind,Juegos de Cartas,"11,65 €",Abstracto,Wolfgang Warsch,20 min,Fácil,"2, 3, 4","Español, Inglés, Francés, Alemán, Italiano","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/the-mind.html,"The Mind es un juego de cartas en el que todos los jugadores colocan las cartas que les han tocado de una baraja numerada del 1 al 100 en orden ascendente. Así parece muy fácil, ¿verdad? Pero no hay orden de turno y los jugadores no pueden hablar, ni hacer señas, ni indicar de ninguna manera qué cartas tienen. ¿A que ya no parece tan fácil? Por eso tenéis que estar en sintonía, leer vuestras mentes y seguir vuestro instinto para terminar todos los niveles del juego."
Happy Salmon,Juegos de Cartas,"11,65 €",Animales,"Ken Gruhl, Quentin Weir",20 min,Fácil,"3, 4, 5, 6",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años",https://zacatrus.es/happy-salmon.html,"Happy Salmon en un rápido y sencillo juego de cartas, ¡lleno de diversión con aletas y choques de puños!"
Ciudadelas Clásico,Juegos de Cartas,"14,95 €",Medieval,Bruno Faidutti,45 min,Medio,"2, 3, 4, 5, 6, 7",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/ciudadelas-clasico.html,"Trata de construir la mejor ciudad de todas y ser nombrado Maestro Constructor del reino. Impresiona a la nobleza con tu capacidad para el desarrollo de las ciudades.

Vuelve este gran juego, ganador de numerosos premios y considerado como una auténtica obra maestra de los juegos modernos. Además, esta edición clásica incluye los personajes originales y todas las ilustraciones de la primera edición del juego."
Dobble,Juegos de Cartas,"15,00 €",Temàtica NO identificada,Autors NO identificat/s,10',Dificultat NO identificada,"2, 3, 4, 5, 6, 7, 8",Español,"de 3 a 6 años, de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/dobble.html,"Mueve tus ojos con rapidez, observa las cartas de los adversarios y encuentra el dibujo idéntico antes que el resto. Aprovecha las reglas diferentes y no pares de jugar. El ambiente será enloquecedor. Y no te olvides que para ser el más veloz tienes que mantener la concentración, si te despistas, te ganarán. Sólo si tus reflejos son los más rápidos, vencerás."
Funky Pollo,Juegos de Cartas,"11,65 €",Abstracto,"Ken Gruhl, Quentin Weir",5 min,Fácil,"3, 4, 5, 6",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/funko-pollo.html,"¿Un juego para hacer el baile del pollo? ¡Sí! Aquí está Funky Chicken el juego que sigue las reglas de Happy Salmón, pero en lugar de saludos tiene pasos de baile. ¿Estás preparado para esta versión “movida” de Happy Salmón?"
Exit - Las Catacumbas del Terror (Doble),Juegos de Cartas,"22,49 €",Terror,"Inka Brand, Markus Brand",45 - 90 min,Medio,"1, 2, 3, 4",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/exit-las-catacumbas-del-terror-doble.html,Tras la misteriosa desaparición de un amigo en las catacumbas de París acudís a buscarle por las laberínticas galerías del subsuelo. ¿Lograréis encontrar a vuestro amigo a tiempo y escapar del terrible secreto que se oculta en las profundidades de la capital francesa?
¿Alguien ha probado este juego?,Juegos de Cartas,"13,49 €",Abstracto,Chris Cieslik,1 - 5 min,Fácil,"2, 3, 4, 5, 6, 7, 8, +8",Español,de 14 a 18 años,https://zacatrus.es/alguien-ha-probado-este-juego.html,"En ""¿Algien ha probado este juego?"", las reglas son muy claras: si pierdes, no ganas y, de hecho, quedas fuera del juego. Si todos los demás pierden y tú no, ¡ganas! No dejarás de reírte con tus amigos!!!"
